City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,12.12,84,79,0.89,NZ,1700643818
1,salinopolis,-0.6136,-47.3561,26.76,79,28,5.14,BR,1700644052
2,adamstown,-25.066,-130.1015,20.69,65,3,2.6,PN,1700643808
3,wailua homesteads,22.0669,-159.378,23.44,85,100,7.72,US,1700643822
4,port-aux-francais,-49.35,70.2167,4.13,77,61,10.35,TF,1700643807
5,nantucket,41.2835,-70.0995,8.08,91,100,11.83,US,1700643828
6,bilibino,68.0546,166.4372,-18.36,95,100,4.54,RU,1700643615
7,aasiaat,68.7098,-52.8699,-9.78,91,100,4.49,GL,1700643834
8,stanley,54.868,-1.6985,9.74,92,75,6.69,GB,1700643814
9,whistler,50.1164,-122.9695,1.98,98,98,1.44,CA,1700643778
10,weno,7.4515,151.8468,27.97,83,75,4.12,FM,1700644053
11,haiku-pauwela,20.9219,-156.3051,23.91,89,40,2.06,US,1700643818
12,yangquan,37.8575,113.5633,9.7,30,0,6.54,CN,1700643928
13,grytviken,-54.2811,-36.5092,1.51,99,100,3.0,GS,1700643815
14,praia da vitoria,38.7333,-27.0667,15.98,95,97,12.75,PT,1700643865
15,ribeira grande,38.5167,-28.7,18.22,77,20,9.77,PT,1700643826
16,ushuaia,-54.8,-68.3,2.81,87,20,3.09,AR,1700643278
17,prince rupert,54.3161,-130.3201,6.05,87,100,1.03,CA,1700643820
18,puerto natales,-51.7236,-72.4875,4.24,97,99,2.42,CL,1700643717
19,woolgoolga,-30.1106,153.2007,21.13,90,100,2.85,AU,1700644053
20,gilgit,35.9221,74.3087,12.53,23,0,0.57,PK,1700644053
21,tiksi,71.6872,128.8694,-31.31,99,51,3.02,RU,1700643761
22,mabaruma,8.2,-59.7833,22.41,99,51,0.91,GY,1700644054
23,kapa'a,22.0752,-159.319,24.18,83,100,7.72,US,1700643864
24,edinburgh of the seven seas,-37.0676,-12.3116,13.12,73,100,9.05,SH,1700643809
25,hawaiian paradise park,19.5933,-154.9731,22.73,96,100,2.57,US,1700643810
26,crane,31.3974,-102.3501,7.71,32,0,1.78,US,1700643814
27,margaret river,-33.95,115.0667,28.83,40,12,2.92,AU,1700643807
28,saipan,15.1355,145.701,27.39,83,0,5.14,MP,1700643820
29,sisimiut,66.9395,-53.6735,-7.92,85,98,5.77,GL,1700643844
30,yellowknife,62.456,-114.3525,-21.71,84,100,4.63,CA,1700643737
31,la libertad,-2.2333,-80.9,22.69,84,100,4.41,EC,1700644054
32,avarua,-21.2078,-159.775,23.03,68,75,7.2,CK,1700643846
33,tevriz,57.509,72.4042,-5.47,56,100,6.14,RU,1700644055
34,mahina,-17.5065,-149.489,26.87,83,75,1.54,PF,1700644055
35,st. john's,47.5649,-52.7093,0.54,72,100,7.15,CA,1700643840
36,xinqing,48.2333,129.5,-9.62,84,100,2.84,CN,1700643950
37,iqaluit,63.7506,-68.5145,-1.15,74,75,13.38,CA,1700643806
38,stettler,52.3168,-112.7186,-2.02,50,100,4.61,CA,1700644055
39,hithadhoo,-0.6,73.0833,28.14,71,27,4.04,MV,1700643832
40,naze,28.3667,129.4833,19.81,67,5,3.34,JP,1700644055
41,farafangana,-22.8167,47.8333,28.05,58,95,5.65,MG,1700644055
42,markaz-e hukumat-e darweshan,31.1323,64.1934,26.35,29,0,3.9,AF,1700644055
43,nemuro,43.3236,145.575,9.2,78,24,4.53,JP,1700643820
44,northam,51.0333,-4.2167,11.45,89,100,4.2,GB,1700643859
45,fort mcmurray,56.7268,-111.381,-9.23,79,100,3.09,CA,1700643534
46,richards bay,-28.783,32.0377,28.71,61,0,4.22,ZA,1700643811
47,mishkino,55.3389,63.9175,-3.05,94,100,6.38,RU,1700644056
48,fale old settlement,-9.3852,-171.2468,28.87,75,70,6.03,TK,1700643869
49,monrovia,6.3005,-10.7969,27.08,82,78,1.82,LR,1700644019
50,kavaratti,10.5669,72.642,28.97,68,95,2.6,IN,1700643845
51,lukow,51.929,22.3796,-4.48,77,4,3.2,PL,1700644056
52,khandyga,62.6667,135.6,-24.46,99,100,0.95,RU,1700643833
53,collie,-33.3667,116.15,34.44,14,13,4.51,AU,1700644056
54,moanda,-1.5575,13.2178,28.84,63,44,1.21,GA,1700643844
55,hermanus,-34.4187,19.2345,22.36,48,0,9.26,ZA,1700643811
56,susuman,62.7833,148.1667,-21.52,96,100,3.01,RU,1700644056
57,fada,9.5667,8.3,28.35,27,100,1.42,NG,1700644057
58,bamyan,34.75,67.25,8.15,33,0,4.56,AF,1700644023
59,egilsstadir,65.2653,-14.3948,1.79,61,4,11.88,IS,1700643861
60,hegang,47.4,130.3667,-7.55,89,100,3.88,CN,1700644057
61,remire-montjoly,4.9167,-52.2667,24.02,94,0,0.0,GF,1700643828
62,east london,-33.0153,27.9116,29.08,52,8,5.81,ZA,1700643610
63,zapala,-38.8992,-70.0544,8.66,51,100,3.38,AR,1700644057
64,albany,42.6001,-73.9662,4.77,92,100,1.34,US,1700643609
65,kapuskasing,49.4169,-82.4331,-3.47,91,100,2.68,CA,1700643837
66,inhambane,-23.865,35.3833,31.95,56,14,6.42,MZ,1700644057
67,west island,-12.1568,96.8225,28.99,65,100,6.69,CC,1700643814
68,antsiranana,-12.2787,49.2917,31.03,59,89,9.59,MG,1700643903
69,ruidoso,33.3317,-105.673,2.08,60,0,4.12,US,1700644058
70,rio branco,-9.9747,-67.81,22.47,88,100,0.7,BR,1700643608
71,invercargill,-46.4,168.35,12.79,96,100,4.92,NZ,1700643825
72,badger,64.8,-147.5333,-15.36,83,0,1.54,US,1700643808
73,santa lucia,27.9117,-15.5407,17.65,83,40,5.14,ES,1700644058
